company,city,state,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
Las Carretas,Lexington,Missouri,http://www.lascarretas.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory; 3 locations. Confirmed food business — proceed to Stage 3.
"Zest Restaurant, LLC",Leawood,Kansas,http://www.zest.ae,food manufacturing,Wrong location,WRONG LOCATION,Website zest.ae is Dubai restaurant chain,SKIP,Apollo data mismatch — company/website is not located in MO/KS
Salty Iguana,Prairie Village,Kansas,http://www.saltyiguana.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $23,228,000 rev. Confirmed food business — proceed to Stage 3."
FANESTIL MEATS,Emporia,Kansas,http://www.fanestils.com,food/bev general,Non-food business,MISMATCH,Smokehouse meat manufacturer (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Food Entrepreneur,Kansas City,Missouri,http://www.foodbizcon.com,catering/food truck,Non-food business,MISMATCH,Conference/event organizer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"His & Her Fitness, LLC",Leawood,Kansas,http://www.hisandherfitness.net,food/bev general,Non-food business,MISMATCH,Fitness studio,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Fountain City Logistics,Overland Park,Kansas,http://www.fountaincitylogistics.com,food/bev general,Non-food business,MISMATCH,Freight brokerage,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Merchants Pub & Plate,Lawrence,Kansas,http://www.merchantsonmass.com,bar/brewery,bar/brewery,OPEN,"Food business (restaurants): with skill, creativity and a rich midwestern harvest, we create comforting yet surprising cuisine fo",REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
J. Rieger & Co.,Kansas City,Missouri,http://www.jriegerco.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Hereford House - Shawnee,Shawnee,Kansas,http://www.herefordhouse.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $17,895,000 rev; 5 locations. Confirmed food business — proceed to Stage 3."
Village Interiors,Kansas City,Missouri,http://www.villageinteriors.com,food/bev general,Non-food (interior design),MISMATCH,Interior design firm at 705 E 36th St KC MO — misclassified as food production in Apollo,SKIP,Interior design firm at 705 E 36th St KC MO — misclassified as food production in Apollo
Hotel Kansas City - in the Unbound Collection by Hyatt,Kansas City,Missouri,http://www.hotelkc.com,bar/brewery,bar/brewery,OPEN,Hotel with restaurant — verify restaurant portion separately,MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
JOHNNY KAW'S INC,Manhattan,Kansas,http://www.johnnykaws.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: recreational facilities & services,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Riverwood Winery,Rushville,Missouri,http://www.riverwoodwinery.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food production,REVEAL,"MO/KS territory; $5,682,000 rev. Confirmed food business — proceed to Stage 3."
Tannin Wine Bar and Kitchen,Kansas City,Missouri,http://www.tanninwinebar.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Pawsperity,Kansas City,Missouri,http://www.pawsperity.org,food/bev general,Non-food business,MISMATCH,Pet grooming training nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Lean Kitchen Co,Saint Joseph,Missouri,http://www.leankitchenco.com,catering/food truck,catering/food truck,OPEN,Healthy meal prep franchise — verify St. Joseph location open,MANUAL CHECK,MO/KS territory. Needs Edward's review before proceeding.
District. Pour House + Kitchen,Kansas City,Missouri,http://www.districtpourhousekc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Center of Grace,Olathe,Kansas,http://www.centerofgrace.center,food/bev general,food/bev general,OPEN,Industry is nonprofit organization management — unclear if food-primary from description,MANUAL CHECK,KC metro. Ambiguous — Edward should verify if this is a food/restaurant business.
Wells Blue Bunny Dairy Pdts,Kansas City,Missouri,http://www.bluebunny.com,food/bev general,Non-food (printing),MISMATCH,Non-food industry: printing,SKIP,Not a food/restaurant business — orig industry is printing
Longboards Wraps & Bowls,Kansas City,Missouri,http://www.longboardswrapsandbowls.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $3,363,000 rev. Confirmed food business — proceed to Stage 3."
Los Cabos Mexican Grill and Cantina,Independence,Missouri,http://www.loscabosok.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: ,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
FlexPro Meals,Kansas City,Missouri,http://www.flexpromeals.com,food manufacturing,food manufacturing,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Canyon Cafe LLC,Kansas City,Missouri,http://www.canyoncafe.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $17,505,000 rev; 3 locations. Confirmed food business — proceed to Stage 3."
Ophelias Restaurant,Independence,Missouri,http://www.opheliasind.com,full-service restaurant,Wrong location,WRONG LOCATION,Apollo desc shows Thai/gambling spam website,SKIP,Apollo data mismatch — company/website is not located in MO/KS
Sassafras Marketing,Lenexa,Kansas,http://www.sassafrasmarketing.com,food/bev general,Non-food (marketing & advertising),MISMATCH,Non-food industry: marketing & advertising,SKIP,Not a food/restaurant business — orig industry is marketing & advertising
Pyramid Pizza,Oak Grove,Missouri,http://www.pyramidpizzalawrence.com,full-service restaurant,Wrong location,WRONG LOCATION,Apollo desc shows Macau gambling website,SKIP,Apollo data mismatch — company/website is not located in MO/KS
CASCONES,Kansas City,Missouri,http://www.cascones.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $10,000,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
Falcon Ridge Golf Course,Lenexa,Kansas,http://www.falconridgegolfclub.com,other/non-food,Non-food business,MISMATCH,Stage 1 classified as non-food; orig_industry: sports,SKIP,Auto-skipped by Stage 1 as non-food
"Vanguard Shrink Films, Inc.",Lenexa,Kansas,http://www.vanguardshrinkfilms.com,food/bev general,Non-food (packaging & containers),MISMATCH,Non-food industry: packaging & containers,SKIP,Not a food/restaurant business — orig industry is packaging & containers
Somerset Ridge Vineyard and Winery,Paola,Kansas,http://www.somersetridge.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food production,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Margarita's,Kansas City,Missouri,http://www.margaritasamigos.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: ,REVEAL,"KC metro; $2,446,000 rev. Confirmed food business — proceed to Stage 3."
Sushi Gin,Overland Park,Kansas,,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,Asian/ethnic cuisine; KC metro. Confirmed food business — proceed to Stage 3.
Casino White Cloud,White Cloud,Kansas,http://www.casinowhitecloud.org,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: entertainment,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Los Corrals,Kansas City,Missouri,http://www.loscorrals.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Waldo Pizza,Lee's Summit,Missouri,http://www.ordersummitpizza.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Social Suppers,Riverside,Missouri,http://www.socialsuppers.com,food/bev general,Food production company,OPEN,Food production company at 1839 NW Vivion Rd — verify if restaurant or B2B food prep service,MANUAL CHECK,Food production company at 1839 NW Vivion Rd — verify if restaurant or B2B food prep service
Quality Air Solutions,Lenexa,Kansas,http://www.qualityairsolutions.net,food distributor/grocer,Non-food business,MISMATCH,Air compressor distributor,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Los Tules,Kansas City,Missouri,http://www.los-tuleskc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
eShipping Distribution Services,Riverside,Missouri,http://www.eshippingdistributionservices.com,food/bev general,Non-food business,MISMATCH,3PL warehousing,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Kansas Wheat,Manhattan,Kansas,http://www.kswheat.com,food/bev general,Non-food business,MISMATCH,Wheat farmer cooperative,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Great Plains Analytical Laboratory - GPAL,Kansas City,Missouri,http://www.gpalab.com,food manufacturing,Non-food business,MISMATCH,Food testing lab (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Iron Horse Bar and Grill,Leawood,Kansas,http://www.ironhorsegrillbar.com,bar/brewery,bar/brewery,OPEN,Leawood KS restaurant — verify open,MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
Nurture KC,Kansas City,Missouri,http://www.nurturekc.org,food/bev general,Non-food business,MISMATCH,Healthcare nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Garment House,Kansas City,Missouri,http://www.garmenthousekc.com,full-service restaurant,Non-food business,MISMATCH,Entertainment district (food-secondary),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Six Mile Chop House - Tavern,Lawrence,Kansas,http://www.6milechophouse.com,bar/brewery,bar/brewery,OPEN,Legitimate food business: actual restaurant,REVEAL,MO/KS territory. Verified as food business in MO/KS territory.
Piropos Restaurant,Kansas City,Missouri,http://www.piroposkc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: ,REVEAL,"KC metro; $13,906,000 rev. Confirmed food business — proceed to Stage 3."
The Stanley Historic Event Space,Lee's Summit,Missouri,http://www.thestanleyeventspace.com,full-service restaurant,full-service restaurant,OPEN,"Event venue in Lee's Summit — primarily events, not restaurant",MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
Metabolic Meals LLC,St. Louis,Missouri,http://www.mymetabolicmeals.com,food manufacturing,food manufacturing,OPEN,Online meal delivery service — verify local physical presence,MANUAL CHECK,"MO/KS territory; $4,025,000 rev. Needs Edward's review before proceeding."
Latitude 39,Kansas City,Missouri,,bar/brewery,Wrong location,WRONG LOCATION,Apollo desc says Indianapolis IN,SKIP,Apollo data mismatch — company/website is not located in MO/KS
Nell Hill's,Kansas City,Missouri,http://www.nellhills.com,food/bev general,Non-food (home interior store),MISMATCH,Home interior store — originally started as gourmet food shop but now home décor only,SKIP,Home interior store — originally started as gourmet food shop but now home décor only
"Interactive Design, Inc.",Lenexa,Kansas,http://www.interactivedesign.com,food/bev general,food/bev general,OPEN,Industry: machinery — needs verification,MANUAL CHECK,"KC metro; $27,926,000 rev. Needs manual review."
Advanced Sports & Family Chiropractic & Acupuncture,Overland Park,Kansas,http://www.asfca.com,food/bev general,"Non-food (health, wellness & fitness)",MISMATCH,"Non-food industry: health, wellness & fitness",SKIP,"Not a food/restaurant business — orig industry is health, wellness & fitness"
New Growth,Appleton City,Missouri,http://www.newgrowthmo.org,food/bev general,food/bev general,OPEN,Industry is nonprofit organization management — unclear if food-primary from description,MANUAL CHECK,MO/KS territory. Ambiguous — Edward should verify if this is a food/restaurant business.
WorkForge,Kansas City,Missouri,http://www.workforge.com,food manufacturing,Non-food business,MISMATCH,E-learning software company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Crosswind Industries, Inc.",Parkville,Missouri,,food/bev general,Non-food business,MISMATCH,Pet food contract manufacturer (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Katie's Pizza,Clayton,Missouri,http://www.johngehrig.ch,food/bev general,Non-food business,MISMATCH,STL pizza - Clayton MO (in MO territory),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Hammons Black Walnuts,Stockton,Missouri,http://www.black-walnuts.com,food/bev general,Non-food business,MISMATCH,Black walnut processor (B2B),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
JFS of Greater Kansas City (Jewish Family Services),Overland Park,Kansas,http://www.jfskc.org,food/bev general,Non-food business,MISMATCH,Social services nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Commercial Baking,Kansas City,Missouri,http://www.commercialbaking.com,bakery/cafe,Wrong location,WRONG LOCATION,Apollo desc says Toronto Ontario,SKIP,Apollo data mismatch — company/website is not located in MO/KS
SAFE Bar Network,Kansas City,Missouri,http://www.safebarnetwork.org,bar/brewery,Non-food business,MISMATCH,Bar safety nonprofit (not a bar),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Northland Shepherd's Center,Kansas City,Missouri,http://www.northlandsc.org,bakery/cafe,Non-food business,MISMATCH,Senior services nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Glory Days Pizza,Topeka,Kansas,http://www.glorydayspizza.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"MO/KS territory; $17,659,000 rev. Confirmed food business — proceed to Stage 3."
Kansas City Catering,Kansas City,Kansas,http://www.kansascitycatering.com,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: hospitality,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
BCI,Sabetha,Kansas,http://www.bachelorcontrols.com,food/bev general,food/bev general,OPEN,Industry: machinery — needs verification,MANUAL CHECK,"MO/KS territory; $20,000,000 rev. Needs manual review."
Central Bag Company,Leavenworth,Kansas,http://www.centralbagcompany.com,food/bev general,Non-food (packaging & containers),MISMATCH,Non-food industry: packaging & containers,SKIP,Not a food/restaurant business — orig industry is packaging & containers
Captain's Sports Lounge,Lee's Summit,Missouri,http://www.captainskc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Burg & Barrel,Overland Park,Kansas,http://www.burgandbarrel.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Grand Mere Restaurant Group,Overland Park,Kansas,http://www.gmrestaurantgroup.com,full-service restaurant,full-service restaurant,OPEN,Legitimate food business: Restaurant group - REVEAL,REVEAL,KC metro. Verified as food business in MO/KS territory.
TK Architects International,Kansas City,Missouri,http://www.tkarch.com,food/bev general,Non-food business,MISMATCH,Architecture firm,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Flint Oak,Fall River,Kansas,http://www.flintoak.com,food/bev general,Non-food business,MISMATCH,Hunting club,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Brookridge Golf Club,Overland Park,Kansas,http://www.brookridgegolfclub.com,full-service restaurant,Non-food business,MISMATCH,Golf club (food-secondary),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Unicorn Theatre,Kansas City,Missouri,http://www.unicorntheatre.org,bar/brewery,Non-food business,MISMATCH,Theater company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Gunter Pest & Lawn,Kansas City,Missouri,http://www.gunterpest.com,other/non-food,Non-food business,MISMATCH,Pest control,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Look East,Gladstone,Missouri,http://www.lookeast.com,food/bev general,Non-food business,MISMATCH,PR/marketing agency for food industry,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
23RD STREET BREWERY,Lawrence,Kansas,http://www.brew23.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"MO/KS territory; $3,054,000 rev. Confirmed food business — proceed to Stage 3."
ReHope,Harrisonville,Missouri,http://www.rehope.org,food/bev general,Non-food business,MISMATCH,Human trafficking nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Il Lazzarone,Saint Joseph,Missouri,http://www.illazzarone.org,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
American Royal Association,Kansas City,Missouri,http://www.americanroyal.com,food/bev general,Non-food business,MISMATCH,Agricultural event org,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"SCD Probiotics, LLC",Kansas City,Missouri,http://www.scdprobiotics.com,food/bev general,Non-food business,MISMATCH,Life sciences company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Agriculture Future of America,Kansas City,Missouri,http://www.agfuture.org,food/bev general,Non-food business,MISMATCH,Ag education nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Europa A Cafe,Kansas City,Missouri,,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro; 7 locations. Confirmed food business — proceed to Stage 3.
BOBS GRILL,Pittsburg,Kansas,http://www.bobsgrill.org,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
New Frontier Technologies,Overland Park,Kansas,http://www.newfrontiertech.com,food/bev general,Non-food business,MISMATCH,Industrial systems integrator,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
RAOULS,Shawnee,Kansas,http://www.raouls.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $18,729,000 rev. Confirmed food business — proceed to Stage 3."
Worldwide Beverage Group,Lenexa,Kansas,http://www.worldwidebeveragegroup.com,food/bev general,Non-food business,MISMATCH,Bev distribution (B2B only),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Portia's Cafe,Kansas City,Missouri,http://www.portiascafe.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Custom Trailer Pros,Overland Park,Kansas,http://www.customtrailerpros.com,catering/food truck,Non-food business,MISMATCH,Food trailer manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Bombay Canada,Kansas City,Kansas,http://www.bombay.com,bar/brewery,Non-food business,MISMATCH,Retail home goods store,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Strawberry Hill Baking Company,Merriam,Kansas,http://www.strawberryhill.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: hospitality,REVEAL,"KC metro; $4,256,000 rev. Confirmed food business — proceed to Stage 3."
Missouri State Fair,Sedalia,Missouri,http://www.mostatefair.com,food/bev general,Non-food business,MISMATCH,State fair event,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Barlow Truck Lines Inc,Faucett,Missouri,http://www.barlowtruckline.com,food/bev general,Non-food business,MISMATCH,Trucking company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Prairie Paws Animal Shelter, Inc.",Ottawa,Kansas,http://www.prairiepaws.org,food/bev general,Non-food business,MISMATCH,Animal shelter nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Fifth & Emery Frozen Yogurt and Chocolate,Kansas City,Missouri,http://www.fifthandemerykc.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
InnovaPrep LLC,Drexel,Missouri,http://www.innovaprep.com,food/bev general,Non-food business,MISMATCH,Microbiological testing tools,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Mother Earth News magazine,Topeka,Kansas,http://www.motherearthnews.com,food/bev general,Non-food business,MISMATCH,Publishing,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"American Pest Management, Inc.",Manhattan,Kansas,http://www.americanpestonline.com,food/bev general,Non-food business,MISMATCH,Pest control,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Camcorp, Inc.",Lenexa,Kansas,http://www.camcorpinc.com,food manufacturing,Non-food business,MISMATCH,Dust collection/air pollution equipment,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Huckleberry's,Trenton,Missouri,,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"MO/KS territory; $12,769,000 rev. Confirmed food business — proceed to Stage 3."
Popculture Gourmet Popcorn,Parkville,Missouri,http://www.popculturekc.com,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: retail,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
"Kansas City Sausage Company, LLC",Kansas City,Missouri,http://www.kcsausageco.com,food/bev general,Wrong location,WRONG LOCATION,Apollo desc shows Spanish address,SKIP,Apollo data mismatch — company/website is not located in MO/KS
"Green Dot Bioplastics, Inc.",Emporia,Kansas,http://www.greendotbioplastics.com,food/bev general,Non-food business,MISMATCH,Bioplastics manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Build WyCo,Kansas City,Kansas,http://www.buildwyco.org,food/bev general,Non-food business,MISMATCH,Community development nonprofit,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Second Harvest Community Food Bank,Saint Joseph,Missouri,http://www.shcfb.org,food/bev general,Non-food business,MISMATCH,Food bank (not insurable food service),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Noble Hospitality,Kansas City,Missouri,http://www.noblehospitality.com,food/bev general,Non-food business,MISMATCH,Hotel mgmt company (not food-primary),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Plaza Catering,Overland Park,Kansas,http://www.plazacatering.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"KC metro; $429,000 rev. Confirmed food business — proceed to Stage 3."
McCoy's Public House and Brew Kitchen,Kansas City,Missouri,,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: hospitality,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Johnson County Community Health Services,Warrensburg,Missouri,http://www.johnsoncountyhealth.org,food/bev general,Non-food business,MISMATCH,Health services,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Space Perspective,Warrensburg,Missouri,http://www.spaceperspective.com,food/bev general,Non-food business,MISMATCH,Aerospace company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Set’em Up Jacks,Lawrence,Kansas,http://www.setemupjacks.com,full-service restaurant,full-service restaurant,OPEN,Food business (restaurants): welcome to set ‘em up jack’s. home of the 22 ft hd big freakin’ screen. come in for daily specials l,REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
The Brewtop Pub & Patio,Kansas City,Missouri,http://www.thebrewtop.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
1900 BARKER BAKERY AND CAFE LLC,Lawrence,Kansas,http://www.1900barker.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food production,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
SALINE COUNTY HEALTH DEPARTMENT,Marshall,Missouri,http://www.salinecountyhealthdepartment.com,catering/food truck,Non-food (government administration),MISMATCH,Non-food industry: government administration,SKIP,Not a food/restaurant business — orig industry is government administration
Marina 27 Steak & Seafood,Lake Lotawana,Missouri,http://www.marina27.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: ,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Crows coffee,Kansas City,Missouri,http://www.crowscoffee.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $3,936,000 rev. Confirmed food business — proceed to Stage 3."
